Team,Conference,Division
Toronto Raptors,Eastern Conference,Atlantic Division
Brooklyn Nets,Eastern Conference,Atlantic Division
New Jersey Nets,Eastern Conference,Atlantic Division
New York Knicks,Eastern Conference,Atlantic Division
Boston Celtics,Eastern Conference,Atlantic Division
Philadelphia 76ers,Eastern Conference,Atlantic Division
Indiana Pacers,Eastern Conference,Central Division
Chicago Bulls,Eastern Conference,Central Division
Cleveland Cavaliers,Eastern Conference,Central Division
Detroit Pistons,Eastern Conference,Central Division
Milwaukee Bucks,Eastern Conference,Central Division
Miami Heat,Eastern Conference,Southeast Division
Washington Wizards,Eastern Conference,Southeast Division
Charlotte Bobcats,Eastern Conference,Southeast Division
Atlanta Hawks,Eastern Conference,Southeast Division
Orlando Magic,Eastern Conference,Southeast Division
Oklahoma City Thunder,Western Conference,Northwest Division
Portland Trail Blazers,Western Conference,Northwest Division
Minnesota Timberwolves,Western Conference,Northwest Division
Denver Nuggets,Western Conference,Northwest Division
Utah Jazz,Western Conference,Northwest Division
Seattle SuperSonics,Western Conference,Northwest Division
Los Angeles Clippers,Western Conference,Pacific Division
Golden State Warriors,Western Conference,Pacific Division
Phoenix Suns,Western Conference,Pacific Division
Sacramento Kings,Western Conference,Pacific Division
Los Angeles Lakers,Western Conference,Pacific Division
San Antonio Spurs,Western Conference,Southwest Division
Houston Rockets,Western Conference,Southwest Division
Memphis Grizzlies,Western Conference,Southwest Division
Dallas Mavericks,Western Conference,Southwest Division
New Orleans Pelicans,Western Conference,Southwest Division
New Orleans/Oklahoma City Hornets,Western Conference,Southwest Division
New Orleans Hornets,Western Conference,Southwest Division
